,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,GABAAB_ratio,e_GABAA,e_GABAB
65,65,339,3,2,26,0.376,1,582.0,18.0,0.2102303057909012,7.626974582672118,0.712898,0.66074359417,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
66,66,339,3,2,36,0.737,1,523.0,17.0,0.19139619171619413,7.30824327468872,1.12503,0.581060826778,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
67,67,339,3,2,29,0.123,1,612.0,19.0,0.21992239356040957,7.790994644165038,0.612723,0.701748609543,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
68,68,339,3,2,38,0.975,1,993.0,27.0,0.3422364592552185,9.86092472076416,0.678336,1.2192312479,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
69,69,339,3,2,39,0.093,1,571.0,18.0,0.20652291178703308,7.564233779907226,0.695067,0.645058512688,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
70,70,339,3,2,39,0.483,1,768.0,22.0,0.26977068185806274,8.634580612182617,0.722319,0.912645161152,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
71,71,339,3,2,39,0.73,1,378.0,14.0,0.14479094743728635,6.519538879394531,0.739376,0.383884757757,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
72,72,339,3,2,73,0.934,1,648.0,20.0,0.23130503296852112,7.983623504638672,0.909319,0.749905884266,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
73,73,339,3,2,39,0.373,1,1092.0,30.0,0.37380883097648626,10.39522647857666,0.716091,1.35280656815,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
74,74,339,3,2,38,0.994,1,326.0,13.0,0.1279476284980774,6.234498023986816,0.68562,0.312624543905,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
75,75,339,3,2,28,0.138,1,1070.0,29.0,0.36683243513107294,10.277164459228516,0.691569,1.32329106331,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
76,76,339,3,2,27,0.928,1,880.0,25.0,0.3058018684387207,9.24433898925781,0.680764,1.06508481503,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
77,77,417,13,2,72,0.489,10,754.0,20.0,0.11875126510858536,7.152568340301514,0.770969,0.653040349483,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
78,78,417,13,2,64,0.573,10,639.0,18.0,0.09860638529062273,6.06474494934082,0.605054,0.408481508493,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
79,79,417,13,2,45,0.362,10,1111.0,26.0,0.1814729869365692,10.539541244506836,1.27795,1.4144821167,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
80,80,417,13,2,47,0.134,10,777.0,20.0,0.12272877991199492,7.367354393005371,0.701807,0.701327383518,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
81,81,417,13,2,55,0.423,10,804.0,21.0,0.12748879194259644,7.624394416809082,0.641059,0.759113907814,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
82,82,417,13,2,55,0.334,10,844.0,21.0,0.13456176221370697,8.006335258483887,0.65765,0.844979763031,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
83,83,417,13,2,47,0.128,10,1130.0,26.0,0.18471907079219815,10.714829444885252,0.706509,1.45388948917,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
84,84,417,13,2,47,0.126,10,816.0,21.0,0.12970677018165588,7.744165420532226,0.71045,0.786040186882,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
85,85,417,13,2,59,0.481,10,1044.0,25.0,0.16966737806797028,9.902037620544432,0.98711,1.27116191387,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
86,86,417,13,2,70,0.774,10,763.0,20.0,0.12032725661993025,7.237671852111816,1.03841,0.67217284441,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
87,87,417,13,2,70,0.783,10,685.0,19.0,0.10675327479839324,6.504676818847656,1.04797,0.507384777069,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
88,88,417,13,2,73,0.472,10,1059.0,25.0,0.17234575748443604,10.046670913696287,1.07465,1.3036775589,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
89,89,417,13,2,46,0.791,10,636.0,18.0,0.09800266474485395,6.032143592834473,0.630999,0.401152312756,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
90,90,417,13,2,47,0.031,10,699.0,19.0,0.10912083834409712,6.632525444030762,0.712339,0.536127030849,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
91,91,417,13,2,54,0.379,10,652.0,18.0,0.10095047950744628,6.191326141357422,0.729179,0.436938852072,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
92,92,417,13,2,54,0.648,10,1043.0,25.0,0.16948361694812775,9.892115592956545,0.732783,1.26893115044,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
93,93,417,13,2,56,0.019,10,1055.0,25.0,0.17162466049194336,10.00773239135742,0.753066,1.29492342472,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
94,94,417,13,2,56,0.051,10,959.0,23.0,0.1547296792268753,9.095402717590332,0.762829,1.08981823921,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
95,95,417,13,2,56,0.066,10,892.0,22.0,0.1430092751979828,8.462501525878906,0.765596,0.947532653809,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
105,105,873,13,2,62,0.599,10,880.0,22.0,0.14090588688850403,8.348917961120605,1.24441,0.92199742794,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
106,106,873,13,2,27,0.676,10,1009.0,24.0,0.1634271889925003,9.565068244934082,0.708513,1.19540607929,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
107,107,873,13,2,16,0.883,10,748.0,20.0,0.11778031289577484,7.100136756896973,0.742807,0.641252934933,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
108,108,873,13,2,16,0.866,10,785.0,20.0,0.12415600568056107,7.444424152374268,0.740116,0.718653917313,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
109,109,873,13,2,16,0.997,10,651.0,18.0,0.10071516036987305,6.178618431091309,0.72335,0.434082001448,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
110,110,873,13,2,73,0.79,10,640.0,18.0,0.09876396507024765,6.073254108428955,0.840285,0.410394519567,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
111,111,873,13,2,46,0.309,10,756.0,20.0,0.11906832456588744,7.169689655303955,0.993007,0.656889498234,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
112,112,873,13,2,62,0.278,10,713.0,19.0,0.11150681227445602,6.7613677978515625,1.06252,0.565092682838,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
113,113,873,13,2,72,0.13,10,668.0,18.0,0.1037052646279335,6.340084552764893,1.40498,0.470381915569,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
118,118,1143,7,2,31,0.703,9,1148.0,1.0,0.28434449434280396,7.869473934173584,1.89666,0.683965086937,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
119,119,1143,7,2,31,0.7,9,1278.0,2.0,0.3043089807033539,8.418497085571289,1.90019,0.763074338436,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
120,120,1143,7,2,31,0.702,9,1391.0,3.0,0.32175183296203613,8.898175239562988,1.89849,0.832191586494,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
121,121,1143,7,2,37,0.19,9,1252.0,2.0,0.30026307702064514,8.307234764099121,2.22865,0.747042417526,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
122,122,1143,7,2,37,0.236,9,1074.0,1.0,0.2729828953742981,7.557030200958253,2.24731,0.638944745064,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
123,123,1143,7,2,37,0.294,9,894.0,0.0,0.245251938700676,6.79442834854126,2.26972,0.529060840607,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
124,124,1143,7,2,37,0.343,9,1005.0,0.0,0.2622665762901306,7.262331008911133,2.28868,0.596481323242,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
125,125,1143,7,2,37,0.389,9,1485.0,4.0,0.3361633121967316,9.294491767883299,2.30651,0.889297187328,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
126,126,1143,7,2,37,0.44,9,1020.0,0.0,0.26463502645492554,7.327463150024414,2.32811,0.605866312981,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
127,127,1143,7,2,31,0.699,9,1341.0,3.0,0.3139733374118805,8.684267044067383,1.6666,0.801369309425,apical,L23_MC,ProbGABAAB_EMS,0.0,-80.0,-75.84
130,130,1255,13,2,73,0.205,10,780.0,20.0,0.1233314573764801,7.399898529052734,0.747885,0.708643853664,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
